lsmaccx,lsmaccy,lsmaccz,lsmangx,lsmangy,lsmangz,a0,a1,a2,f1,f2,timestamp
0,0,0,0,0,0,13475,31447,41210,0,0,5
0,0,0,0,0,0,22821,33576,41322,0,0,10
0,0,0,0,0,0,22901,33560,41290,0,0,15
0,0,0,0,0,0,22773,33528,41322,0,0,20
0,0,0,0,0,0,22677,33512,41274,0,0,25
0,0,0,0,0,0,22629,33416,41258,0,0,30
0,0,0,0,0,0,22645,33736,41386,0,1,35
0,0,0,0,0,0,22517,33480,41354,0,0,40
0,0,0,0,0,0,22453,33384,41306,0,0,45
0,0,0,0,0,0,22421,33384,41258,0,0,50
0,0,0,0,0,0,22389,33416,41258,0,0,55
0,0,0,0,0,0,22309,33384,41258,0,0,60
0,0,0,0,0,0,22261,33272,41162,0,0,65
0,0,0,0,0,0,22277,34200,41834,0,1,70
0,0,0,0,0,0,22293,33400,41322,0,0,75
0,0,0,0,0,0,22101,33320,41322,0,0,80
0,0,0,0,0,0,22037,33352,41322,0,0,85
0,0,0,0,0,0,21893,33384,41306,0,0,90
0,0,0,0,0,0,21845,33320,41322,0,0,95
0,0,0,0,0,0,17828,32231,41450,0,1,139
0,0,0,0,0,0,31111,35736,40873,0,0,140
0,0,0,0,0,0,22965,33704,41450,0,1,145
0,0,0,0,0,0,22357,33528,41450,0,0,150
0,0,0,0,0,0,22101,33448,41322,0,0,155
0,0,0,0,0,0,21973,33464,41290,0,0,160
0,0,0,0,0,0,21909,33384,41386,0,0,165
0,0,0,0,0,0,21861,33304,41402,0,0,170
0,0,0,0,0,0,21813,33256,41258,0,0,175
0,0,0,0,0,0,21845,33432,41402,0,1,180
0,0,0,0,0,0,21829,33320,41386,0,0,185
0,0,0,0,0,0,21781,33352,41418,0,0,190
0,0,0,0,0,0,21765,33336,41418,0,0,195
0,0,0,0,0,0,21749,33288,41402,0,0,200
0,0,0,0,0,0,21733,33272,41450,0,0,205
0,0,0,0,0,0,21701,33208,41322,0,0,210
0,0,0,0,0,0,21781,33752,41578,0,1,215
0,0,0,0,0,0,21765,33336,41482,0,0,220
0,0,0,0,0,0,16468,32295,41738,0,0,239
0,0,0,0,0,0,27606,33864,40873,0,0,240
0,0,0,0,0,0,22309,33384,41354,0,0,245
0,0,0,0,0,0,22021,34088,41770,0,1,250
0,0,0,0,0,0,21941,33480,41386,0,0,255
